driver,query_type,min,max,mean
pandas,1,230.87263107299805,496.1111545562744,404.8936367034912
psycopg2,1,390.794038772583,500.20432472229004,424.13830757141113
sqlite,1,727.7989387512207,1764.2290592193604,750.2844333648682
duckdb,1,150.78473091125488,233.32571983337402,167.54913330078125
sqlalchemy,1,217.49448776245117,312.8049373626709,232.95068740844727
pandas,2,344.91610527038574,608.9582443237305,390.8417224884033
psycopg2,2,370.255708694458,591.1495685577393,397.56011962890625
sqlite,2,703.1214237213135,967.3984050750732,736.7823123931885
duckdb,2,173.36463928222656,333.94908905029297,221.85730934143066
sqlalchemy,2,317.63172149658203,106477.32830047607,380.65147399902344
pandas,3,1092.010736465454,2076.9076347351074,1214.5171165466309
psycopg2,3,1142.7803039550781,1410.492181777954,1204.54740524292
sqlite,3,1571.2449550628662,4084.9151611328125,1706.2010765075684
duckdb,3,192.68202781677246,360.3477478027344,253.80468368530273
sqlalchemy,3,936.9733333587646,1291.3856506347656,949.6665000915527
pandas,4,1384.3955993652344,2902.717351913452,1553.2186031341553
psycopg2,4,1441.4267539978027,3309.6158504486084,1577.6336193084717
sqlite,4,3356.760025024414,7328.803062438965,3472.3129272460938
duckdb,4,225.9206771850586,3031.174659729004,290.10510444641113
sqlalchemy,4,1659.661054611206,2857.9180240631104,1833.3706855773926
